,Company,Year,Country,Revenue,Sector
403,China Iife Insurance,2016,China,111.24,Financials
404,Tencent,2014,China,428.32,Information Technology
405,Tencent,2022,China,428.32,Information Technology
406,Tencent,2023,China,428.32,Information Technology
407,Tencent,2015,China,428.32,Information Technology
408,Tencent,2017,China,428.32,Information Technology
409,Tencent,2019,China,428.32,Information Technology
410,Tencent,2021,China,428.32,Information Technology
411,Tencent,2020,China,428.32,Information Technology
412,Tencent,2018,China,428.32,Information Technology
413,Tencent,2016,China,428.32,Information Technology
414,Kweichow Moutai,2014,China,243.08,Consumer Staples
415,Kweichow Moutai,2022,China,243.08,Consumer Staples
416,Kweichow Moutai,2023,China,243.08,Consumer Staples
417,Kweichow Moutai,2015,China,243.08,Consumer Staples
418,Kweichow Moutai,2017,China,243.08,Consumer Staples
419,Kweichow Moutai,2019,China,243.08,Consumer Staples
420,Kweichow Moutai,2021,China,243.08,Consumer Staples
421,Kweichow Moutai,2020,China,243.08,Consumer Staples
422,Kweichow Moutai,2018,China,243.08,Consumer Staples
423,Kweichow Moutai,2016,China,243.08,Consumer Staples
424,Agricultural Bank of China,2014,China,221.35,Financials
425,Agricultural Bank of China,2022,China,221.35,Financials
426,Agricultural Bank of China,2023,China,221.35,Financials
427,Agricultural Bank of China,2015,China,221.35,Financials
428,Agricultural Bank of China,2017,China,221.35,Financials
429,Agricultural Bank of China,2019,China,221.35,Financials
430,Agricultural Bank of China,2021,China,221.35,Financials
431,Agricultural Bank of China,2020,China,221.35,Financials
432,Agricultural Bank of China,2018,China,221.35,Financials
433,Agricultural Bank of China,2016,China,221.35,Financials
434,Sinopec,2014,China,104.55,Energy
435,Sinopec,2022,China,104.55,Energy
436,Sinopec,2023,China,104.55,Energy
437,Sinopec,2015,China,104.55,Energy
438,Sinopec,2017,China,104.55,Energy
439,Sinopec,2019,China,104.55,Energy
440,Sinopec,2021,China,104.55,Energy
441,Sinopec,2020,China,104.55,Energy
442,Sinopec,2018,China,104.55,Energy
443,Sinopec,2016,China,104.55,Energy
444,PetroChina,2014,China,218.98,Energy
445,PetroChina,2022,China,218.98,Energy
446,PetroChina,2023,China,218.98,Energy
447,PetroChina,2015,China,218.98,Energy
448,PetroChina,2017,China,218.98,Energy
449,PetroChina,2019,China,218.98,Energy
450,PetroChina,2021,China,218.98,Energy
451,PetroChina,2020,China,218.98,Energy
452,PetroChina,2018,China,218.98,Energy
453,PetroChina,2016,China,218.98,Energy
454,Meituan,2022,China,93.17,Information Technology
455,Meituan,2023,China,93.17,Information Technology
456,Meituan,2019,China,93.17,Information Technology
457,Meituan,2021,China,93.17,Information Technology
458,Meituan,2020,China,93.17,Information Technology
459,Meituan,2018,China,93.17,Information Technology
460,China Mobile,2014,China,206.74,Communication Services
461,China Mobile,2022,China,206.74,Communication Services
462,China Mobile,2023,China,206.74,Communication Services
463,China Mobile,2015,China,206.74,Communication Services
464,China Mobile,2017,China,206.74,Communication Services
465,China Mobile,2019,China,206.74,Communication Services
466,China Mobile,2021,China,206.74,Communication Services
467,China Mobile,2020,China,206.74,Communication Services
468,China Mobile,2018,China,206.74,Communication Services
469,China Mobile,2016,China,206.74,Communication Services
470,CATL,2022,China,115.41,Industries
471,CATL,2023,China,115.41,Industries
472,CATL,2019,China,115.41,Industries
473,CATL,2021,China,115.41,Industries
474,CATL,2020,China,115.41,Industries
475,CATL,2018,China,115.41,Industries
476,Alibaba,2022,China,187.26,Information Technology
477,Alibaba,2023,China,187.26,Information Technology
478,Alibaba,2015,China,187.26,Information Technology
479,Alibaba,2017,China,187.26,Information Technology
480,Alibaba,2019,China,187.26,Information Technology
481,Alibaba,2021,China,187.26,Information Technology
482,Alibaba,2020,China,187.26,Information Technology
483,Alibaba,2018,China,187.26,Information Technology
484,Alibaba,2016,China,187.26,Information Technology
485,CNOOC,2014,China,124.7,Energy
486,CNOOC,2022,China,124.7,Energy
487,CNOOC,2023,China,124.7,Energy
488,CNOOC,2015,China,124.7,Energy
489,CNOOC,2017,China,124.7,Energy
490,CNOOC,2019,China,124.7,Energy
491,CNOOC,2021,China,124.7,Energy
492,CNOOC,2020,China,124.7,Energy
493,CNOOC,2018,China,124.7,Energy
494,CNOOC,2016,China,124.7,Energy
495,ICBC,2014,China,267.08,Financials
496,ICBC,2022,China,267.08,Financials
497,ICBC,2023,China,267.08,Financials
498,ICBC,2015,China,267.08,Financials
499,ICBC,2017,China,267.08,Financials
500,ICBC,2019,China,267.08,Financials
501,ICBC,2021,China,267.08,Financials
502,ICBC,2020,China,267.08,Financials
503,ICBC,2018,China,267.08,Financials
504,ICBC,2016,China,267.08,Financials
505,China Yangtze Power,2022,China,100.53,Energy
506,China Yangtze Power,2023,China,100.53,Energy
507,China Yangtze Power,2021,China,100.53,Energy
508,China Yangtze Power,2020,China,100.53,Energy
509,PingAn Insurance,2014,China,100.07,Financials
510,PingAn Insurance,2022,China,100.07,Financials
511,PingAn Insurance,2023,China,100.07,Financials
